Dictionnaire de données — Observatoire de Population de Ouagadougou (OPO)						
Base de données de suivi démographique (23 tables)  •  327 variables  •  Source : Dictionnaire_des_variables.doc						
						
N°	Table	Description de la table	Nom de la variable	Libellé de la variable	Type de donnée	Modalités / Valeurs codées
34	Tbase_Socialgp	Household characteristics (housing, assets, amenities)	wall_nat	Wall material	Catégorielle (codes)	1=stone or brick made of cement | 2=wood | 3=local brick made with mud | 4=sheet metal | 5=other | 99=Don't know or missing
35	Tbase_Socialgp	Household characteristics (housing, assets, amenities)	roof_nat	Roof material	Catégorielle (codes)	1=sheet metal | 2=tile | 3=slab made with cement | 4=wood | 5=mud | 6=thatch/straw/leaves | 99=Don't know or missing
36	Tbase_Socialgp	Household characteristics (housing, assets, amenities)	floor_nat_int	Floor material (inside the house)	Catégorielle (codes)	1=tile | 2=Cement | 3=Wood | 4=land | 5=other | 99=Don't know or missing
37	Tbase_Socialgp	Household characteristics (housing, assets, amenities)	floor_nat_ext	Floor material (inside the yard)	Catégorielle (codes)	1=tile or cement | 2=pavements or gravel | 3=Land | 4=Mixed | 5=other | 99=Don't know or missing
38	Tbase_Socialgp	Household characteristics (housing, assets, amenities)	waste_in	Presence of waste inside the yard	Catégorielle (codes)	1=yes | 2=no | 99=Don't know or missing
39	Tbase_Socialgp	Household characteristics (housing, assets, amenities)	waste_ext	Presence of waste nearby the yard	Catégorielle (codes)	1=yes | 2=no | 99=Don't know or missing
40	Tbase_Socialgp	Household characteristics (housing, assets, amenities)	vegetable_garden	Garden inside the yard	Catégorielle (codes)	1=yes | 2=no | 99=Don't know or missing
41	Tbase_Socialgp	Household characteristics (housing, assets, amenities)	plant_ext	Presence of plants inside the yard	Catégorielle (codes)	1=yes | 2=no | 99=Don't know or missing
42	Tbase_Socialgp	Household characteristics (housing, assets, amenities)	burglary	Victim of burglary in the last 12 months	Catégorielle (codes)	1=yes | 2=no | 99=Don't know or missing
43	Tbase_Socialgp	Household characteristics (housing, assets, amenities)	burglary_money	Victim of money burglary in the last 12 months	Catégorielle (codes)	1=yes | 2=no | 99=Don't know or missing | 0=Not concerned
