Dictionnaire de données — Observatoire de Population de Ouagadougou (OPO)						
Base de données de suivi démographique (23 tables)  •  327 variables  •  Source : Dictionnaire_des_variables.doc						
						
N°	Table	Description de la table	Nom de la variable	Libellé de la variable	Type de donnée	Modalités / Valeurs codées
156	TBase_HistMig	Migratory Event	reason_inp	Reasons for coming in this location (by category)	Catégorielle (codes)	1 for family reasons 2 for security reasons 3 due to habitat characteristics 4 due to an employment 5 for cost reasons 6 for health reason 7 for education reasons 9 other reasons | 99=Don’t known or Missing value | 0=Not concerned
157	TBase_HistMig	Migratory Event	reason_ins	Reasons for coming in this location (detailed)	Catégorielle (codes)	11=one of family member or friend has gone | 12=married | 13=moved with his family / parent | 14=divorced / separated or became widower | 15=took its independence from the family | 16=left in some body's care | 17=other family reasons 21 insecurity (crime, burglary) | 22=other security reason | 31=poor habitat(floor, wall, roof) | 32=poor conditions of toilet / bathroom / electricity 33 rooms / too small houses | 34=damaged house | 35=construction of a new home | 36=other reason related to habitat | 41=lost a job | 42=little employment prospects | 43=too far from the workplace | 44=no land to cultivate | 45=other reason related to employment | 51=rent too higth | 52=too expensive food | 53=health fees too high | 54=schooling fees too high | 55=other cost reasons | 61=poor health services | 62=dirty environment | 63=health other reason | 71=for schooling (primary or secondary) | 72=for schooling University / professional school | 73=finished school (primary or secondary) | 74=finished school (University / professional school) | 75=other reason linked to education | 91=just for changing | 92=other | 93=Don’t know | 99=Missing value | 0=Not concerned
158	TBase_HistMig	Migratory Event	indiv_relig	Religion	Catégorielle (codes)	1 No religion 2 Catholic 3 Muslim 4 Protestant 5 Traditional religion | 6=Other religion 9 Don’t know | 99=Missing value
159	TBase_HistMig	Migratory Event	entry_date	Interview date	Date	
160	TBase_HistMat	Marriage Event	observeid	OBSERVATION ID	Identifiant	
161	TBase_HistMat	Marriage Event	individid	INDIVIDUAL ID	Identifiant	
162	TBase_HistMat	Marriage Event	socialgpid	HOUSEHOLD ID	Identifiant	
163	TBase_HistMat	Marriage Event	union_ended	Has already been in a union which ended	Catégorielle (codes)	1=Yes | 2=No | 99=Don’t known or Missing value
164	TBase_HistMat	Marriage Event	union_num	Total number of unions	Numérique	
165	TBase_HistMat	Marriage Event	union_age	Age at first union	Texte / Numérique	
166	TBase_HistMat	Marriage Event	entry_date	Interview date	Date	
167	TBase_HistMat	Marriage Event	field_wrkr		Texte / Numérique	
168	TBase_HistMat	Marriage Event	status_dat		Texte / Numérique	
169	TBase_HistGen	Births History	histgen_num	GENESIQUE EVENT ID	Numérique	
170	TBase_HistGen	Births History	observeid	OBSERVATION ID	Identifiant	
171	TBase_HistGen	Births History	socialgpid	HOUSEHOLD ID	Identifiant	
172	TBase_HistGen	Births History	individid	INDIVIDUAL ID (WOMAN ID)	Identifiant	
173	TBase_HistGen	Births History	already_had_child	Woman already had a living birth	Catégorielle (codes)	1=Yes | 2=No | 4=No answer
174	TBase_HistGen	Births History	childid	CHILD ID	Identifiant	
175	TBase_HistGen	Births History	uch_resident	Child currently resides in the location	Catégorielle (codes)	1=Yes | 2=No | 4=No answer | 0=Not concerned
176	TBase_HistGen	Births History	birth_place	Child birth place	Catégorielle (codes)	In Ouaga Elsewhere | 4=No answer | 0=Not concerned
177	TBase_HistGen	Births History	gender	Child gender	Catégorielle (codes)	Male Female | 4=No answer | 0=Not concerned
178	TBase_HistGen	Births History	died	Child died	Catégorielle (codes)	1=Yes | 2=No | 4=No answer | 0=Not concerned
179	TBase_HistGen	Births History	death_age	Age at his death	Catégorielle (codes)	98 Not concerned
180	TBase_HistGen	Births History	death_place	Death place	Catégorielle (codes)	In ouaga Elsewhere | 4=No answer | 0=Not concerned
181	TBase_HistGen	Births History	current_age	Current age or age  if he wasn’t died	Catégorielle (codes)	98 Not concerned
182	TBase_HistGen	Births History	unwanted_pregnancy	Desire for the pregnancy	Catégorielle (codes)	1=At this time | 2=Later | 3=Unwanted | 4=No answer | 0=Not concerned
183	TBase_HistGen	Births History	Register	Birth registered at the registry office	Catégorielle (codes)	1=Yes | 2=No | 99=Don’t known or Missing value | 4=No answer | 0=Not concerned
184	TBase_HistGen	Births History	Entry_date	Interview date	Date	
185	TBirth	Birth Table	eventid	EVENT ID	Identifiant	
186	TBirth	Birth Table	pregoutid	DELIVERY ID	Identifiant	
187	TBirth	Birth Table	observeid	OBSERVATION ID	Identifiant	
188	TBirth	Birth Table	individid	INDIVIDUAL ID(Child ID)	Identifiant	
189	TBirth	Birth Table	Sex	Sex	Catégorielle (codes)	1=Male | 2=Female
190	TBirth	Birth Table	birth_date	Birth date	Date	
191	TBirth	Birth Table	weight	Weight at birth	Texte / Numérique	
192	TBirth	Birth Table	height	Height at birth	Texte / Numérique	
193	TBirth	Birth Table	bcg	BCG date	Date	
194	TBirth	Birth Table	polio	POLIO 0 date	Date	
195	TBirth	Birth Table	rltn_head	relation to household head	Catégorielle (codes)	3 Son or daughter 4 Son-in-law or daughter-in-law 5 Grandson/daughter 8 Brother or sister | 9=Other parent | 10=no relationship | 11=nephew | 12=Don’t know | 99=Missing value
196	TBirth	Birth Table	register	Birth registered at the registry office	Catégorielle (codes)	1=Yes | 2=No | 99=Don’t known or Missing value
197	TBirth	Birth Table	unwanted_pregnancy	Desire for the pregnancy	Catégorielle (codes)	1=At this time | 2=Later | 3=Unwanted | 4=No answer
198	TBirth	Birth Table	entry_date	Interview date	Date	
199	TDeath	Death Table	eventid	EVENT ID	Identifiant	
200	TDeath	Death Table	observeid	OBSERVATION ID	Identifiant	
201	TDeath	Death Table	individid	INDIVIDUAL DIED	Identifiant	
202	TDeath	Death Table	evtdate	Date of death	Date	
203	TDeath	Death Table	diedinhs	Died in a health structure	Catégorielle (codes)	1=Yes | 2=No | 99=Don’t known or Missing value
204	TDeath	Death Table	died_struct_code	Code of health structure	Catégorielle (codes)	0. Not concerned
205	TDeath	Death Table	gonetohs	Gone to a health structure before died	Catégorielle (codes)	1=Yes | 2=No | 99=Don’t known or Missing value
206	TDeath	Death Table	gone_struct_code	Code of health structure he has gone before died	Catégorielle (codes)	0. Not concerned
207	TDeath	Death Table	entry_date	Interview date	Date	
208	TPregnancy	Pregnancy Table	eventid	EVENT ID	Identifiant	
209	TPregnancy	Pregnancy Table	observeid	OBSERVATION ID	Identifiant	
210	TPregnancy	Pregnancy Table	individid	INDIVIDUAL ID (WOMAN ID)	Identifiant	
211	TPregnancy	Pregnancy Table	evtdate	Pregnancy starting date	Date	
212	TPregnancy	Pregnancy Table	entry_date	Interview date	Date	
213	TPregoutcome	Pregnancy Outcome Table	eventid	EVENT ID	Identifiant	
214	TPregoutcome	Pregnancy Outcome Table	locationid	LOCATION ID	Identifiant	
215	TPregoutcome	Pregnancy Outcome Table	peventid	PREGNANCY OUTCOME ID EVENT ID	Identifiant	
216	TPregoutcome	Pregnancy Outcome Table	observeid	OBSERVATION ID	Identifiant	
217	TPregoutcome	Pregnancy Outcome Table	individid	INDIVIDUAL (WOMAN ID)	Identifiant	
218	TPregoutcome	Pregnancy Outcome Table	outcome	Pregnancy outcome	Catégorielle (codes)	delivery abortion
219	TPregoutcome	Pregnancy Outcome Table	evtdate	Outcome date	Date	
220	TPregoutcome	Pregnancy Outcome Table	birth_place	delivery place	Catégorielle (codes)	health facility Home of a provider Home (the mother or another home) Other | 99=Don’t known or Missing value
221	TPregoutcome	Pregnancy Outcome Table	struct_code	Code of the health structure	Catégorielle (codes)	0. Not concerned
222	TPregoutcome	Pregnancy Outcome Table	struct_specified		Texte / Numérique	
223	TPregoutcome	Pregnancy Outcome Table	type_acc	Type of DELIVERY	Catégorielle (codes)	1=Normal 2 by caesarean section | 3=Other | 99=Don’t known or Missing value
224	TPregoutcome	Pregnancy Outcome Table	birth_assistant	Person who assist woman for delivery	Catégorielle (codes)	Health staff traditional birth attendant Another | 99=Don’t know or Missing value
225	TPregoutcome	Pregnancy Outcome Table	birth_nb	Number of children at DELIVERY	Numérique	
226	TPregoutcome	Pregnancy Outcome Table	livebirth_nb	Number of children born alive	Numérique	
227	TPregoutcome	Pregnancy Outcome Table	birthinlive_nb	Number of children still alive	Numérique	
228	TPregoutcome	Pregnancy Outcome Table	fatherid	children father id	Identifiant	
229	TPregoutcome	Pregnancy Outcome Table	father_ethnic_gp	children father ethnic group	Catégorielle (codes)	1=Bobo | 2=Dioula | 3=Fulani | 4=Gourmantche | 5=Gourounsi | 6=Lobi | 7=Mossi | 8=Senoufo | 9=Touareg / Bella | 10=Others | 11=Don’t know or missing value | 12=Bissa | 13=Samo
230	TPregoutcome	Pregnancy Outcome Table	entry_date	Interview date	Date	
231	TPresences	Presence Table	eventid	EVENT ID	Identifiant	
232	TPresences	Presence Table	episodeid_res	RESIDENCY EPISODE ID	Texte / Numérique	
233	TPresences	Presence Table	observeid	OBSERVATION ID	Identifiant	
234	TPresences	Presence Table	individid	INDIVIDUAL ID	Identifiant	
235	TPresences	Presence Table	enter_periode	Usually sleep in the household since more than 6 months (Only for round zero individuals)	Catégorielle (codes)	1=Yes | 2=No | 99=Don’t known or Missing value
236	TPresences	Presence Table	sleep_lastnight	Slept last night in the location (courtyard)	Catégorielle (codes)	1=Yes | 2=No | 99=Don’t known or Missing value
237	TPresences	Presence Table	arrive_date	Date of last arrival in location (courtyard)	Date	
238	TPresences	Presence Table	depart_date	Date of last depart from location (courtyard)	Date	
239	TPresences	Presence Table	entry_date	Interview date	Date	
240	TMigration_out	Table Migration Out	eventid	EVENT ID	Identifiant	
241	TMigration_out	Table Migration Out	individid	INDIVIDUAL ID	Identifiant	
242	TMigration_out	Table Migration Out	episodeid_res	RESIDENCY EPISODE ID	Texte / Numérique	
243	TMigration_out	Table Migration Out	locationid	LOCATION ID	Identifiant	
244	TMigration_out	Table Migration Out	observeid	OBSERVATION ID	Identifiant	
245	TMigration_out	Table Migration Out	destination	Place of destination	Catégorielle (codes)	1=Ouagadougou | 2=Other town in Burkina | 3=Rural area in Burkina | 4=Ivory Coast | 5=Other African country | 6=Other country (no Africa) 7 Don’t know | 99=Missing value
246	TMigration_out	Table Migration Out	depart_date	Date of departure	Date	
247	TMigration_out	Table Migration Out	reason_outp	Reasons for departure (By Categories)	Catégorielle (codes)	1 for family reasons 2 for security reasons 3 due to habitat characteristics 4 due to an employment 5 for cost reasons 6 for health reasons 7 for education reasons 8 due to a conflict 9 other reasons | 99=Don’t known or Missing value
248	TMigration_out	Table Migration Out	reason_outs	Reasons for departure (Detailed)	Catégorielle (codes)	11=A member of the family or a friend has gone | 12=married | 13=moved with his family / parent | 14=divorced / separated or became widower | 15=took its independence from the family | 16=left in some body's care | 17=other family reasons 21 insecurity (crime, burglary) | 22=other security reason | 31=poor habitat(floor, wall, roof) | 32=poor conditions of toilet / bathroom / electricity 33 rooms / too small houses | 34=damaged house | 35=construction of a new home | 36=other reason related to habitat | 41=lost a job | 42=little employment prospects | 43=too far from the workplace | 44=no land to cultivate | 45=other reason related to employment | 51=rent too higth | 52=too expensive food | 53=health fees too high | 54=schooling fees too high | 55=other cost reasons | 61=poor health services | 62=dirty environment | 63=health other reason | 71=for schooling (primary or secondary) | 72=for schooling University / professional school | 73=finished school (primary or secondary) | 74=finished school (University / professional school) | 75=other reason linked to education | 81=conflict with a family member / friend | 82=civil conflict | 83=banished | 84=other reason related to a conflict | 91=just for changing | 92=other | 98=Don’t know | 99=Missing value
249	TMigration_out	Table Migration Out	entry_date	Interview date	Date	
250	TMigration_out	Table Migration Out	field_wrkr		Texte / Numérique	
251	TMigration_out	Table Migration Out	status_dat		Texte / Numérique	
252	TRelationship	Table Relationship	eventid	EVENT ID	Identifiant	
253	TRelationship	Table Relationship	individid	INDIVIDUAL ID	Identifiant	
254	TRelationship	Table Relationship	individid2	SPOUSE ID	Texte / Numérique	
255	TRelationship	Table Relationship	sobserveid	EVENT STARTING OBSERVATION ID	Identifiant	
256	TRelationship	Table Relationship	sdate	Starting date of union	Date	
257	TRelationship	Table Relationship	conj_res	Spouse resides in the same home	Catégorielle (codes)	Yes No
258	TRelationship	Table Relationship	uni_start	Has ever cohabited	Catégorielle (codes)	Yes No | 99=Don’t known or Missing value
259	TRelationship	Table Relationship	uni_relig	Religious wedding realized	Catégorielle (codes)	1=Yes | 2=No | 99=Don’t known or Missing value
260	TRelationship	Table Relationship	uni_trad	Traditional wedding realized	Catégorielle (codes)	1=Yes | 2=No | 99=Don’t known or Missing value
261	TRelationship	Table Relationship	uni_civil	Civil wedding realized	Catégorielle (codes)	1=Yes | 2=No | 99=Don’t known or Missing value
262	TRelationship	Table Relationship	uni_start_date	Date of entry into cohabitation	Date	
263	TRelationship	Table Relationship	uni_relig_date	Date of religious wedding	Date	
264	TRelationship	Table Relationship	uni_trad_date	Date of traditional wedding	Date	
265	TRelationship	Table Relationship	uni_civil_date	Date of civil wedding	Date	
266	TRelationship	Table Relationship	entry_date	Interview date	Date	
267	TUpdRelationship	Table Updrelationship	eventid	EVENT ID	Identifiant	
268	TUpdRelationship	Table Updrelationship	individid	INDIVIDUAL ID	Identifiant	
269	TUpdRelationship	Table Updrelationship	individid2	SPOUSE ID	Texte / Numérique	
270	TUpdRelationship	Table Updrelationship	locationid	LOCATION ID	Identifiant	
271	TUpdRelationship	Table Updrelationship	sobserveid	EVENT STARTING OBSERVATION ID	Identifiant	
272	TUpdRelationship	Table Updrelationship	sdate	Starting date of union	Date	
273	TUpdRelationship	Table Updrelationship	conj_res	Spouse resides in the same home	Catégorielle (codes)	1=Yes | 2=No | 99=Don’t known or Missing value
274	TUpdRelationship	Table Updrelationship	uni_relig	Religious wedding realized	Catégorielle (codes)	1=Yes | 2=No | 99=Don’t known or Missing value
275	TUpdRelationship	Table Updrelationship	uni_trad	Traditional wedding realized	Catégorielle (codes)	1=Yes | 2=No | 99=Don’t known or Missing value
276	TUpdRelationship	Table Updrelationship	uni_civil	Civil wedding realized	Catégorielle (codes)	1=Yes | 2=No | 99=Don’t known or Missing value
277	TUpdRelationship	Table Updrelationship	uni_start_date	Date of entry into cohabitation	Date	
278	TUpdRelationship	Table Updrelationship	uni_relig_date	Date of religious wedding	Date	
279	TUpdRelationship	Table Updrelationship	uni_trad_date	Date of traditional wedding	Date	
280	TUpdRelationship	Table Updrelationship	uni_civil_date	Date of civil wedding	Date	
281	TUpdRelationship	Table Updrelationship	eobserveid	EVENT END OBSERVATION ID	Identifiant	
282	TUpdRelationship	Table Updrelationship	eeventtype	Reasons of end of union	Catégorielle (codes)	Separation / divorce Death of spouse
283	TUpdRelationship	Table Updrelationship	edate	Date of end of union	Date	
284	TUpdRelationship	Table Updrelationship	entry_date	Interview date	Date	
285	TResidency	Table Residency	episodeid	EPISODE OF RESIDENCE ID	Identifiant	
286	TResidency	Table Residency	locationid	Location id	Identifiant	
287	TResidency	Table Residency	individid	INDIVIDUAL ID	Identifiant	
288	TResidency	Table Residency	res_status	Residence status	Catégorielle (codes)	Resident Visitor
289	TResidency	Table Residency	sobserveid	Observation at the beginning of residence	Identifiant	
290	TResidency	Table Residency	sdate	date at the beginning of residence	Date	
291	TResidency	Table Residency	eobserveid	Observation at the end of residence	Identifiant	
292	TResidency	Table Residency	edate	date at the end of residence	Date	
293	TResidency	Table Residency	eeventtype	Reasons of ending residence	Catégorielle (codes)	Migration out Death
294	TResidency	Table Residency	entry_date	Date of Interview	Date	
295	TMembership	Table Membership	episodeid	EPISODE OF MEMBERSHIP ID	Identifiant	
296	TMembership	Table Membership	episodeid_res	EPISODE OF RESIDENCE ID	Texte / Numérique	
297	TMembership	Table Membership	socialgpid	HOUSEHOLD ID	Identifiant	
298	TMembership	Table Membership	individid	INDIVIDUAL ID	Identifiant	
299	TMembership	Table Membership	sobserveid	Observation at the beginning of the membership	Identifiant	
300	TMembership	Table Membership	sdate	date at the beginning of the membership	Date	
301	TMembership	Table Membership	eobserveid	Observation at the end of the membership	Identifiant	
302	TMembership	Table Membership	edate	date at the end of the membership	Date	
303	TMembership	Table Membership	eeventtype	Reason of ending membership	Catégorielle (codes)	Migration out Death
304	TMembership	Table Membership	entry_date	Date of Interview	Date	
305	TSocialgp_head	Table Socialgp_Head	episodeid	EPISODE OF HEADSHIP ID	Identifiant	
306	TSocialgp_head	Table Socialgp_Head	episodeid_res	EPISODE OF RESIDENCE ID	Texte / Numérique	
307	TSocialgp_head	Table Socialgp_Head	headid	INDIVIDUAL ID (HEAD ID)	Identifiant	
308	TSocialgp_head	Table Socialgp_Head	sobserveid	Observation at the beginning of the headship	Identifiant	
309	TSocialgp_head	Table Socialgp_Head	sdate	Date at the beginning of the headship	Date	
310	TSocialgp_head	Table Socialgp_Head	eobserveid	Observation at the end of the headship	Identifiant	
311	TSocialgp_head	Table Socialgp_Head	edate	Date at the end of the headship	Date	
312	TSocialgp_head	Table Socialgp_Head	eeventtype	Reason of ending headship	Catégorielle (codes)	1 or 3 Migrations out 1 or 4 Deaths
313	TSocialgp_head	Table Socialgp_Head	entry_date	Date of Interview	Date	
314	TSocialgp_rltn	Table Socialgp_Relation	eventid	EVENT ID	Identifiant	
315	TSocialgp_rltn	Table Socialgp_Relation	episodeid_head	EPISODE OF HEADSHIP ID	Texte / Numérique	
316	TSocialgp_rltn	Table Socialgp_Relation	episodeid_res	EPISODE RESIDENCE ID	Texte / Numérique	
317	TSocialgp_rltn	Table Socialgp_Relation	individid	INDIVIDUAL ID	Identifiant	
318	TSocialgp_rltn	Table Socialgp_Relation	observeid	Observation ID for the relationship	Identifiant	
319	TSocialgp_rltn	Table Socialgp_Relation	evtdate	Date at the beginning of the relationship	Date	
320	TSocialgp_rltn	Table Socialgp_Relation	rltn_head	Date of Interview	Catégorielle (codes)	1 Socialgp head 2 Wife / husband 3 Son / daughter 4 Undefined / stepdaughter 5 Grandson / granddaughter 6 Father / mother 7 Stepfather / stepmother 8 Brother / sister 9 Nephew / niece 10 No kinship 11 Another parent 12 Don’t know
321	TSocialgp_rltn	Table Socialgp_Relation	entry_date	Date of Interview	Date	
322	Tindividual_charact	Individual characteristics (updatable)	individid	Individual ID	Identifiant	
323	Tindividual_charact	Individual characteristics (updatable)	observeid	Observation ID for the characteristic	Identifiant	
324	Tindividual_charact	Individual characteristics (updatable)	entry_date	Date of interview	Date	
325	Tindividual_charact	Individual characteristics (updatable)	father_alive	Father is alive	Catégorielle (codes)	1=Yes | 2=No | 99=Don't know or missing
326	Tindividual_charact	Individual characteristics (updatable)	mother_alive	Mother is alive	Catégorielle (codes)	1=Yes | 2=No | 99=Don't know or missing
327	Tindividual_charact	Individual characteristics (updatable)	marital_status	Marital status	Catégorielle (codes)	1=Never married | 2=Married | 3=divorced | 4=widowed | 99=Don't know or missing
